RGI_ID,Glacier_Size,Catchment_Size,Slopes_Steeper30,Deposit_Area_ASC,Avalanche_Activity_ASC,Coverage_ASC,Deposit_Area_DESC,Avalanche_Activity_DESC,Coverage_DESC
RGI60-15.03401,7013000,15523300,6395700,154400,98700,3665400,395900,779200,5487100
RGI60-15.03402,457600,840200,302900,0,0,450900,9400,8800,420800
RGI60-15.03403,4818800,9711200,4656500,164000,146100,2887000,248300,348400,3694000
RGI60-15.03404,1132600,1901100,953600,0,0,377500,107100,140700,1119700
RGI60-15.03405,278200,411000,270200,0,0,7500,8200,15300,252200
RGI60-15.03406,803700,2465200,1341400,0,0,50700,168500,347100,780900
RGI60-15.03407,224300,601400,461100,0,0,0,26700,17500,188100
RGI60-15.03408,249900,755700,619400,0,0,0,36800,57100,173300
RGI60-15.03410,980900,1497900,1162700,0,0,76200,56700,102400,896600
RGI60-15.03411,64000,101800,49400,0,0,60800,0,0,0
RGI60-15.03412,59400,194700,147700,0,0,58800,0,0,40800
RGI60-15.03413,175800,168600,120200,0,0,43700,0,0,142100
RGI60-15.03414,477400,944800,644500,0,0,16400,63400,181000,458200
RGI60-15.03415,73300,62100,52100,0,0,24300,0,0,25400
RGI60-15.03416,105700,148800,80100,0,0,73800,0,0,103300
RGI60-15.03417,12592000,22214300,8466300,208000,144300,7886900,639400,1363600,9594600
RGI60-15.03418,152800,156900,101100,0,0,69600,0,0,132200
RGI60-15.03419,379400,686100,308400,0,0,154300,0,0,369300
RGI60-15.03449,51200,58500,38300,0,0,11700,0,0,11100
RGI60-15.03450,101700,239000,155700,0,0,17000,0,0,92500
RGI60-15.03451,56400,82500,34200,0,0,13300,0,0,34500
RGI60-15.03452,189400,281300,164200,0,0,158700,0,0,46400
RGI60-15.03453,178900,443100,312700,0,0,2700,9600,5100,147300
RGI60-15.03454,450100,549000,180100,14900,14300,322800,0,0,200100
RGI60-15.03455,1004100,2260300,1059400,18000,8500,957000,31000,32300,863400
RGI60-15.03456,104300,176400,112900,0,0,200,0,0,86300
RGI60-15.03457,144900,350400,243500,0,0,136400,0,0,57300
RGI60-15.03458,87700,108100,62800,0,0,0,0,0,79400
RGI60-15.03459,106200,182500,154000,0,0,89700,0,0,0
RGI60-15.03460,140200,430400,359300,0,0,9000,0,0,111400
RGI60-15.03461,1027400,2232900,1152500,29900,15800,624900,120700,69300,846300
RGI60-15.03462,57800,57300,53600,0,0,600,0,0,22100
RGI60-15.03463,58100,70400,69100,0,0,53400,0,0,0
RGI60-15.03464,582300,1524100,623800,12400,6100,558400,9700,14200,539800
RGI60-15.03465,53100,109400,78200,0,0,50300,0,0,21700
RGI60-15.03466,117000,150400,107000,0,0,11000,0,0,83800
RGI60-15.03467,211700,387600,186300,0,0,205300,0,0,161000
RGI60-15.03468,269200,531200,309900,0,0,118400,0,0,260500
RGI60-15.03469,470400,654500,282100,0,0,347500,0,0,280900
RGI60-15.03470,209300,199600,180400,0,0,52500,0,0,76900
RGI60-15.03471,245100,338600,88500,500,0,228200,0,0,217300
RGI60-15.03472,479600,869800,428800,10800,5700,347700,35900,34500,400600
RGI60-15.03473,61005100,89573700,33250000,2234600,2383800,37107000,3054200,6686800,40048100
RGI60-15.03474,12909000,21666300,9277800,232000,402000,5590300,801800,1760300,7394100
RGI60-15.03475,619600,650600,461000,33400,35300,390400,0,0,0
RGI60-15.03569,173200,175400,156400,0,0,14900,0,0,122300
RGI60-15.03570,1555500,2605600,1216900,33800,20600,613100,268900,620300,1524100
RGI60-15.03571,413900,1321600,458700,0,0,114400,59100,66300,408600
RGI60-15.03572,1124400,5588900,2594100,17400,9100,570300,86500,109700,887300
RGI60-15.03731,2837300,7582100,4435000,89000,107200,1013700,50600,69300,1501800
RGI60-15.03732,1922700,4663100,2344200,30400,18500,1115000,127900,253300,1514000
RGI60-15.03733,19087100,43957100,24764900,730100,662600,6752800,1842100,4209900,12970200
RGI60-15.03734,12450400,23745100,10019300,353700,297900,7112500,289100,459900,7305700
RGI60-15.03735,3685700,10479300,5108700,0,0,986700,250700,421900,2001900
RGI60-15.03738,750300,2975000,1999400,0,0,131100,34300,32700,547400
RGI60-15.03739,617200,4268600,2929600,9100,7900,595900,0,0,314600
RGI60-15.03740,848200,1483000,801400,11400,5000,720900,0,0,366900
RGI60-15.03742,6817600,17295300,9683400,293300,376700,3532400,526700,1228200,4036100
RGI60-15.03743,14257000,29436100,17302700,299800,233300,5743500,1058400,2064000,7418400
RGI60-15.03745,277800,487700,224600,0,0,193600,19100,24200,244800
RGI60-15.03748,87200,161000,64500,0,0,56100,0,0,66800
RGI60-15.03784,4757300,7064000,1945800,208700,153000,4506200,211300,202000,4177300
RGI60-15.03785,1125000,2351500,1031300,41400,32000,1109500,41800,50800,926000
RGI60-15.03786,279800,823800,525500,0,0,279100,0,0,52600
RGI60-15.03787,157700,280300,166000,0,0,131400,0,0,129400
RGI60-15.03788,548000,944400,511300,15100,9200,233100,32300,31500,464000
RGI60-15.03789,130600,326100,223300,0,0,92200,0,0,116200
